,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
219,Usinsk,65.9939,57.5281,249.22,82,69,4.32,broken clouds
220,Ratnapura,6.6828,80.3992,296.86,96,77,0.81,broken clouds
221,Sabha,27.0377,14.4283,282.05,38,3,2.01,clear sky
222,Storforshei,66.4043,14.5233,255.8,94,10,3.25,clear sky
223,Lebu,-37.6167,-73.65,286.78,74,0,9.29,clear sky
224,Mwinilunga,-11.7358,24.4293,290.18,97,31,1.22,scattered clouds
225,Staroutkinsk,57.2302,59.3348,273.85,97,100,4.78,light snow
226,Sao Joao Da Barra,-21.6403,-41.0511,295.96,81,15,2.83,few clouds
227,Muisne,0.6,-80.0333,297.31,82,100,3.68,overcast clouds
228,Vallenar,-28.5708,-70.7581,299.48,25,3,2.64,clear sky
229,Eyl,7.9803,49.8164,296.9,71,92,7.01,overcast clouds
230,Pirgos,35.1167,25.7178,286.83,85,100,1.58,overcast clouds
231,Hamilton,39.1834,-84.5333,282.06,56,1,0.0,clear sky
232,Mogadishu,2.0371,45.3438,299.54,74,45,7.7,scattered clouds
233,Kanniyakumari,8.0833,77.5667,298.96,84,56,3.84,broken clouds
234,Sao Bernardo,-3.3614,-42.4178,297.95,89,97,1.93,overcast clouds
235,Monrovia,6.3005,-10.7969,299.02,79,67,2.56,broken clouds
236,Keetmanshoop,-26.5833,18.1333,287.18,61,0,7.02,clear sky
237,Santa Cruz,-17.8,-63.1667,300.85,78,75,3.09,broken clouds
238,Posse,-14.0931,-46.3694,293.09,95,52,1.75,light rain
239,Watsa,3.0372,29.5355,291.37,90,71,1.0,light rain
240,Lithakia,37.7167,20.8333,284.59,75,7,8.31,clear sky
241,Prainha,-1.8,-53.48,298.48,80,93,1.34,overcast clouds
242,Garowe,8.4054,48.4845,293.14,66,18,3.41,few clouds
243,Teguldet,57.3064,88.1667,266.83,91,100,4.77,overcast clouds
244,Swansea,51.6208,-3.9432,280.62,86,49,4.02,scattered clouds
245,Umm Lajj,25.0213,37.2685,297.29,55,2,0.59,clear sky
246,Karatau,43.1667,70.4667,278.8,84,99,0.54,overcast clouds
247,Sharkan,57.2989,53.8712,272.13,90,99,5.12,overcast clouds
248,Bol,13.4586,14.7147,298.2,38,8,6.37,clear sky
249,Warmbad,-28.45,18.7333,287.24,73,6,5.64,clear sky
250,Orangeburg,33.4918,-80.8557,290.1,67,1,0.0,clear sky
251,Virginia Beach,36.8529,-75.978,285.37,75,75,3.09,broken clouds
252,Uspenka,48.3903,39.1619,273.58,99,100,5.09,snow
253,Aswan,24.0934,32.907,293.51,22,0,3.05,clear sky
254,Kamakwie,9.5,-12.2333,298.18,84,71,1.46,broken clouds
255,Abrau-Dyurso,44.69,37.59,284.85,86,100,6.72,overcast clouds
256,Mponela,-13.5319,33.7401,294.63,57,3,3.21,clear sky
257,Puteyets,65.1716,57.091,251.8,91,100,1.86,overcast clouds
258,Caravelas,-17.7125,-39.2481,296.98,85,13,2.02,few clouds
259,Sinazongwe,-17.2614,27.4618,300.54,44,1,1.96,clear sky
260,Burgkirchen,48.2044,13.0999,280.42,96,100,1.79,overcast clouds
261,Okahandja,-21.9833,16.9167,289.32,39,0,3.03,clear sky
262,Havre-Saint-Pierre,50.2334,-63.5986,270.15,58,1,8.75,clear sky
263,Opochka,56.7105,28.6617,267.5,97,99,2.04,overcast clouds
264,Korla,41.7597,86.1469,270.05,61,95,0.63,overcast clouds
265,Eidsvag,62.7767,8.0668,274.51,73,97,4.66,overcast clouds
266,Trzcianka,53.0406,16.4563,272.6,87,100,3.55,overcast clouds
267,Hualmay,-11.0964,-77.6139,293.3,82,97,4.34,overcast clouds
268,Nedjo,9.5046,35.5019,288.77,44,6,0.91,clear sky
269,Kalmunai,7.4167,81.8167,298.06,88,1,1.46,clear sky
270,Jawar,23.0,76.5,290.19,59,1,2.63,clear sky
271,Ponta Delgada,37.7333,-25.6667,290.65,82,75,1.03,broken clouds
272,Termiz,37.2242,67.2783,279.2,65,75,0.0,light rain
273,Valparaiso,-33.0393,-71.6273,298.28,52,0,3.6,clear sky
274,Boda,4.3189,17.4695,297.79,65,74,0.94,broken clouds
275,Webuye,0.6075,34.7697,290.82,79,57,3.02,broken clouds
276,Altay,47.8667,88.1167,267.26,52,5,3.57,clear sky
