City_ID,City,Max Temp,Description,Lat,Lng,Hotel Name
311,Koratla,291.86,clear sky,18.8167,78.7167,Srinivasa Lodge
312,Talara,295.57,clear sky,-4.5772,-81.2719,Hostal Oro Negro
313,Matadi,298.12,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
314,Kwekwe,298.36,broken clouds,-18.9281,29.8149,"Golden Mile Hotel, Kwekwe"
315,Norwalk,296.67,haze,33.9022,-118.0817,DoubleTree by Hilton Hotel Los Angeles - Norwalk
316,Dronninglund,274.7,overcast clouds,57.1604,10.2929,Dronninglund Hotel
317,Iaciara,294.01,light rain,-14.0958,-46.6317,Hotel Matinha
318,Sangmelima,295.76,overcast clouds,2.9333,11.9833,gamestar hotel
319,Stokmarknes,266.85,clear sky,68.5646,14.9108,Vesterålen Kysthotell
320,Strezhevoy,260.14,light snow,60.7333,77.5889,Sibiryachka
321,Schoneiche,274.87,light snow,52.4667,13.6833,Hotel Hoppegarten Berlin
322,Newtownards,279.55,few clouds,54.5924,-5.6909,Strangford Arms Hotel
323,Senno,255.52,overcast clouds,59.5336,33.9167,
324,Beni Suef,289.36,few clouds,29.0731,31.0979,Jewel Inn Beni Suef
325,Batticaloa,298.4,clear sky,7.7102,81.6924,Grand Star Guest House
326,Fez,279.29,clear sky,34.0372,-4.9998,Hotel Mounia Fès
327,Port-Gentil,299.92,light rain,-0.7193,8.7815,Fengshui Residence
328,Arlit,293.73,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
329,At-Bashi,266.22,overcast clouds,41.1702,75.8106,Hostel At-Bashy
330,Port Said,292.83,overcast clouds,31.2565,32.2841,Aracan Hotel
331,San Rafael,292.21,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
332,Kaabong,292.02,few clouds,3.4836,34.1492,Rock Motel Ltd
333,Tchibanga,296.18,overcast clouds,-2.85,11.0333,
334,Mikhaylovka,273.03,light snow,50.06,43.2379,5 Komnat
335,Catamarca,297.47,overcast clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
336,Shetpe,275.02,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
337,Carutapera,298.81,overcast clouds,-1.195,-46.02,Lidera
338,Vila Velha,298.12,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
339,Mecca,295.67,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
340,Pyshma,274.56,overcast clouds,56.9523,63.2513,"Gostinitsa ""Postoyalyy Dvor"""
342,Kasama,292.9,scattered clouds,-10.2129,31.1808,Kalebalika Cottages
343,Parambu,299.54,overcast clouds,-6.2111,-40.6944,Recanto das Amoras
344,Benesov Nad Ploucnici,275.31,moderate rain,50.7416,14.3124,Apartments Benešov Nad Ploučnicí
345,Machico,292.5,scattered clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
346,Soyo,298.86,overcast clouds,-6.1349,12.3689,Hotel Mpampa
347,Korycany,274.8,overcast clouds,49.1064,17.1643,Rybník Prokop
348,Ariquemes,298.1,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
349,Gat,291.7,overcast clouds,31.61,34.7642,OlusHome
350,Nouadhibou,292.14,clear sky,20.931,-17.0347,El Medina
351,Mwanza,295.34,light rain,-2.5167,32.9,Gold Crest Hotel
352,Pishin,279.79,scattered clouds,30.5803,66.9961,City Hotel Pishin
353,Mancio Lima,298.11,overcast clouds,-7.6142,-72.8958,Motel Asas Do Desejo
354,Cascais,286.51,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
355,Domoni,299.56,broken clouds,-12.2569,44.5319,Al Djadid
356,Artigas,298.76,overcast clouds,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
357,Pechenga,248.63,few clouds,69.5259,31.1703,
358,Dinar,283.13,light rain,38.065,30.1656,Dinar Öğretmenevi
359,Sinnamary,298.46,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
360,Bitlis,274.2,light snow,38.5,42.25,Karaman
362,Puno,283.91,broken clouds,-15.8333,-70.0333,Hotel Hacienda Plaza De Armas - Puno
363,Gulmarg,273.1,overcast clouds,34.049,74.3921,Pine View
364,Salalah,297.2,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
365,Corner Brook,272.22,light snow,48.9667,-57.9484,Glynmill Inn
366,Pisco,293.18,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
367,Juli,282.64,broken clouds,-16.2167,-69.45,Cordelius Turistico
368,Abhar,277.62,few clouds,36.1468,49.218,Hotel Got7
369,Vytegra,249.81,scattered clouds,61.0064,36.4481,Wardenclyffe Volgo&Balt
370,Nuevitas,297.84,broken clouds,21.5453,-77.2644,Hotel Caonaba
371,Bonavista,271.55,broken clouds,48.6499,-53.1147,Sweet Sharons bnb
372,Stornoway,278.13,broken clouds,58.2093,-6.3865,Caladh Inn
373,Nuristan,266.46,light snow,35.3,70.8333,لَکچُک هوټل
374,Wawa,298.1,broken clouds,9.9022,4.4192,
